date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:03	48212/48212	---MCZ	200	added ('OK')	text/html	date:Mon,%2007%20Feb%202022%2011:21:50%20GMT	https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html	(from )
10:03:04	320/320	---M-Z	200	added ('OK')	text/plain	date:Fri,%2003%20Jun%202022%2014:33:58%20GMT	https://retrina.com/robots.txt		(from )
10:03:04	12024/12024	---M--	200	added ('OK')	image/png	date:Sat,%2013%20Nov%202021%2004:49:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/img/favicon.png	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/img/favicon.png	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:05	205484/205484	---M-Z	200	added ('OK')	text/css	date:Sat,%2009%20Oct%202021%2005:43:20%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:05	73228/73228	---M-Z	200	added ('OK')	text/css	date:Sat,%2006%20Nov%202021%2009:08:16%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/bootstrap-icons.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:06	54852/54852	---M-Z	200	added ('OK')	text/css	date:Sat,%2013%20Nov%202021%2006:20:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/jquery.mCustomScrollbar.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/jquery.mCustomScrollbar.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:07	71750/71750	---M-Z	200	added ('OK')	text/css	date:Tue,%2017%20Nov%202020%2021:39:48%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/animate.min.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/animate.min.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:08	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2021%20Apr%202018%2000:52:10%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/owl.carousel.min.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/owl.carousel.min.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:08	6951/6951	---M-Z	200	added ('OK')	text/css	date:Sat,%2020%20Nov%202021%2006:59:32%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/magnific-popup.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/magnific-popup.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
10:03:08	43392/43392	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Feb%202022%2014:49:35%20GMT	https://retrina.com/demo/arshia/arshia-plus/assets/css/style.css	C:/Users/raghu/Dropbox%20(Old)/My%20PC%20(LAPTOP-J03NU6VN)/Desktop/resume/resume/retrina.com/demo/arshia/arshia-plus/assets/css/style.css	(from https://retrina.com/demo/arshia/arshia-plus/webdesigner-dark.html)
